"","e_","site_","sigle","name","iscore","issect","isssamp","descriptor","hasanlam","entloc","localveg","coll_","sampdate","depthatloc","icethickcm","sampdevice","corediamcm","c14depthadj","notes","site_","sitename","sitecode","siteexists","poldiv1","poldiv2","poldiv3","latdeg","latmin","latsec","latns","latdd","latdms","londeg","lonmin","lonsec","lonew","londd","londms","elevation","areaofsite"
"82",546,461,"RATZ85","core RI","Y","N","Y","LNDR","N",NA,NA,183,"1985-00-00",NA,NA,NA,NA,NA,NA,461,"Grand Ratz le Pellet","FRA-50000-GRAN",NA,"FRA","50","000",45,25,30,"N",45.425,"45.25.30N",5,36,30,"E",5.608333,"  5.36.30E",682,0.25
"83",556,470,"ROQUETAS",NA,"Y","N","Y","MCOA","N","East of Almeria",NA,453,"1993-00-00",NA,NA,"Industrial corer",10,NA,NA,470,"Roquetas de Mar","ESP-01000-ROQU",NA,"ESP","01","000",36,47,40,"N",36.794444,"36.47.40N",2,35,20,"W",-2.588889,"  2.35.20W",0,NA
"84",569,481,"SABBION1","core 3","Y","N","Y","UNKN","N",NA,NA,88,"0000-00-00",NA,NA,"Unspecified device",NA,NA,NA,481,"Sabbion","FRA-05000-SABB",NA,"FRA","05","000",44,7,48,"N",44.13,"44.07.48N",7,28,24,"E",7.473333,"  7.28.24E",2216,NA
"85",570,482,"SAISIES2","core 6","Y","N","Y","UNKN","N",NA,NA,189,"0000-00-00",NA,NA,"Unspecified device",NA,NA,NA,482,"Les Saisies","FRA-80000-LESS",NA,"FRA","80","000",45,44,14,"N",45.737222,"45.44.14N",6,28,37,"E",6.476944,"  6.28.37E",1570,0.5
"86",574,486,"SANRAFA",NA,"Y","N","Y","MCOA","N","East of Almeria",NA,332,"1994-00-00",NA,NA,"Industrial corer",10,NA,NA,486,"San Rafael","ESP-01000-SANR",NA,"ESP","01","000",36,46,25,"N",36.773611,"36.46.25N",2,36,5,"W",-2.601389,"  2.36.05W",0,NA
"87",587,497,"SIGURET","core 4","Y","N","Y","LACU","N",NA,NA,88,"0000-00-00",600,NA,"Unspecified device",NA,NA,NA,497,"Lac de Siguret","FRA-43000-LACD",NA,"FRA","43","000",44,36,49,"N",44.613611,"44.36.49N",6,33,25,"E",6.556944,"  6.33.25E",1066,10
"88",592,502,"SIXTE79","core SI","Y","N","Y","LNDR","N",NA,NA,183,"1979-00-00",NA,NA,"Russian corer",5,NA,NA,502,"Saint Sixte","FRA-50000-SAIN",NA,"FRA","50","000",45,25,33,"N",45.425833,"45.25.33N",5,37,43,"E",5.628611,"  5.37.43",720,2
"89",593,502,"SIXTE85","core II","Y","N","Y","LNDR","N",NA,NA,183,"1984-00-00",NA,NA,"Russian corer",5,NA,NA,502,"Saint Sixte","FRA-50000-SAIN",NA,"FRA","50","000",45,25,33,"N",45.425833,"45.25.33N",5,37,43,"E",5.628611,"  5.37.43",720,2
"90",594,503,"SJSL972","D9","Y","N","Y","PFEN","N","100 m south of the open water",NA,88,"1973-00-00",0,NA,"Hiller corer",3,NA,"This coring is duplicated by a Smith coring from the surface to 6m depth (coring SJSLS).",503,"Lac Saint Léger","FRA-04000-LACS",NA,"FRA","04","000",44,25,12,"N",44.42,"44.25.12N",6,20,11,"E",6.336389,"  6.20.11E",1308,14
"91",595,503,"SJSLC","D11","Y","N","Y","PMIR","N",NA,NA,88,"0000-00-00",0,NA,"Coûteaux and Hiller corers",8,NA,"Couteaux corer down to 190 cm then Hiller corer to the base.",503,"Lac Saint Léger","FRA-04000-LACS",NA,"FRA","04","000",44,25,12,"N",44.42,"44.25.12N",6,20,11,"E",6.336389,"  6.20.11E",1308,14
"92",596,503,"SJSLS","D10","Y","N","Y","PFEN","N",NA,NA,88,"0000-00-00",0,NA,"Smith corer",10,NA,"Complement to the Hiller corer SJSL972.",503,"Lac Saint Léger","FRA-04000-LACS",NA,"FRA","04","000",44,25,12,"N",44.42,"44.25.12N",6,20,11,"E",6.336389,"  6.20.11E",1308,14
"93",611,516,"SOGUT",NA,"Y","N","Y","LNDR","N","SE part of lake, 7.5km NW of Kizilcadag",NA,103,"1974-06-00",0,NA,"Dachnowski",3.6,NA,NA,516,"Sögüt Gölü","TUR-08000-SOGU",NA,"TUR","08","000",36,59,51,"N",36.9975,"36.59.51N",29,53,54,"E",29.898333," 29.53.54E",1400,500
"94",616,520,"SONBOU",NA,"Y","N","Y","MCOA","N","Lagoons",NA,453,"1994-00-00",2880,NA,"Industrial corer",10,NA,NA,520,"Son Bou","ESP-04000-SONB",NA,"ESP","04","000",39,55,29,"N",39.924722,"39.55.29N",4,1,38,"E",4.027222,"  4.01.38E",12,NA
"95",628,531,"STSAU","boring I and II","Y","N","Y","ESTU","N","500 m at North Lattes archeological site",NA,347,"1994-00-00",NA,NA,"Russian sampler",10,NA,NA,531,"Saint Sauveur","FRA-46000-SAIN",NA,"FRA","46","000",43,33,59,"N",43.566389,"43.33.59N",3,55,0,"E",3.916667,"  3.55.00E",1,NA
"96",635,537,"SUH2","core 2","Y","N","Y","UNKN","N",NA,NA,172,"1976-07-00",NA,NA,"Streif sampler",5,NA,"The coring is done at the centrum of the peat bog developed on the place of lake.",537,"Dry Lake II","BGR-01000-DRYL","N1986","BGR","01","000",42,3,0,"N",42.05,"42.03.00N",23,32,0,"E",23.533333," 23.32.00E",1900,2
"97",650,550,"TENAGI1",NA,"Y","N","Y","MCOA","N",NA,NA,227,"1972-00-00",NA,NA,"Unspecified device",NA,NA,NA,550,"Tenaghi Philippon","GRC-26000-TENA",NA,"GRC","26","000",40,59,0,"N",40.983333,"40.59.00N",24,47,0,"E",24.783333," 24.47.00E",10,NA
"98",651,551,"TG8",NA,"Y","N","Y","ESTU","N",NA,NA,NA,"1987-00-00",54,NA,"Unspecified device",NA,NA,NA,551,"Delta del Rio Besos","ESP-09000-TG8",NA,"ESP","09","000",41,22,49,"N",41.380278,"41.22.49N",2,14,54,"E",2.248333,"  2.14.54E",0,NA
"99",653,553,"TM1","core 1","Y","N","Y","PMSH","N","South western part",NA,411,"1981-00-00",445,NA,"hand coring equipment and Dachnowski",2,NA,"Check the depth at the coring location with Spasimir Tonkov.",553,"Tschokljovo Marsh","BGR-11000-TSCH",NA,"BGR","11","000",42,22,0,"N",42.366667,"42.22.00N",22,50,0,"E",22.833333," 22.50.00E",870,180
"100",661,561,"TOURVES",NA,"Y","N","Y","UNKN","N",NA,NA,313,"1997-00-00",NA,NA,"Helicoidal",NA,NA,NA,561,"Tourves","FRA-90000-TOUR",NA,"FRA","90","000",43,30,0,"N",43.5,"43.30.00N",5,54,0,"E",5.9,"  5.54.00E",298,NA
"101",675,133,"VALPROV2","D13","Y","N","Y","PMIR","N","Center of the marsh",NA,88,"1975-10-00",0,NA,"Smith corer",7,NA,"The top of the sequence was not sampled. It is present in another coring Vallon de Provence 1. See diagramme D12.",133,"Vallon de Provence","FRA-04000-VALL",NA,"FRA","04","000",44,23,28,"N",44.391111,"44.23.28N",6,24,15,"E",6.404167,"  6.24.15E",2075,0.25
"102",680,577,"VEGORIT",NA,"Y","N","Y","UNKN","N","N. Greece, W. of Plain of Macedonia",NA,103,"0000-00-00",31,NA,"Mackereth",6,NA,NA,577,"Vegoritis 8","GRC-16000-VEGO",NA,"GRC","16","000",40,45,0,"N",40.75,"40.45.00N",21,45,0,"E",21.75," 21.45.00E",570,6830
"103",683,222,"VENICE",NA,"Y","N","Y","UNKN","N",NA,NA,NA,"0000-00-00",NA,NA,"Unspecified device",NA,NA,NA,222,"Venice","ITA-20000-VENI",NA,"ITA","20","000",45,30,0,"N",45.5,"45.30.00N",12,15,0,"E",12.25," 12.15.00E",22,NA
"104",688,583,"VIVIIS",NA,"Y","N","Y","UNKN","N","West side of the drained lake Viviis",NA,103,"1963-00-00",NA,NA,"Unspecified device",NA,NA,NA,583,"Lake Viviis","GRC-34000-LAKE",NA,"GRC","34","000",39,35,0,"N",39.583333,"39.35.00N",22,47,0,"E",22.783333," 22.47.00E",50,NA
"105",693,588,"VOLVI",NA,"Y","N","Y","UNKN","N","E. Macedonia, N. of Chalkidiki peninsula",NA,103,"0000-00-00",1950,NA,"Mackereth",6,NA,NA,588,"Volvi 6","GRC-48000-VOLV",NA,"GRC","48","000",40,45,0,"N",40.75,"40.45.00N",23,30,0,"E",23.5," 23.30.00E",100,7370
"106",721,614,"PRARION",NA,"Y","N","Y","UNKN","N",NA,NA,88,"0000-00-00",NA,NA,"Unspecified device",NA,NA,NA,614,"Plateau de Prarion","FRA-41000-PLAT",NA,"FRA","41","000",45,53,5,"N",45.884722,"45.53.05N",6,44,58,"E",6.749444,"  6.44.58E",1857,NA
"107",722,615,"PRE2","core 4","Y","N","Y","UNKN","N",NA,NA,189,"0000-00-00",NA,NA,"Unspecified device",NA,NA,NA,615,"Col du Pré","FRA-80000-COLD",NA,"FRA","80","000",45,41,21,"N",45.689167,"45.41.21N",6,36,38,"E",6.610556,"  6.36.38E",1730,0.1
"108",737,630,"OUVEIL2","core 1","Y","N","Y","LNSL","N",NA,"Agricultural, cultivated",254,"1992-00-00",NA,NA,"Unspecified device",NA,NA,NA,630,"Etang d'Ouveillan","FRA-10000-ETAN",NA,"FRA","10","000",43,16,0,"N",43.266667,"43.16.00N",3,0,0,"E",3,"  3.00.00E",6,NA
"109",738,631,"PLAINEP","core 1","Y","N","Y","PBOG","N",NA,NA,316,"0000-00-00",NA,NA,"Russian",7,NA,NA,631,"Plaine Alpe","FRA-43000-PLAI",NA,"FRA","43","000",44,57,50,"N",44.963889,"44.57.50N",6,35,39,"E",6.594167,"  6.35.39E",1850,NA
"110",739,632,"PREROND","core 1","Y","N","Y","PBOG","N",NA,NA,316,"0000-00-00",NA,NA,"Russian",7,NA,NA,632,"Pré Rond","FRA-43000-PRER",NA,"FRA","43","000",44,55,8,"N",44.918889,"44.55.08N",6,35,39,"E",6.594167,"  6.35.39E",1800,NA
"111",757,644,"ASP3","AS3","Y","N","Y","OTHR","N",NA,"Corena/Lygos shrub and planted Pinus pinea",394,"1979-04-00",NA,NA,"Open section",NA,NA,NA,644,"El Asperillo","ESP-01000-ELAS",NA,"ESP","01","000",37,4,16,"N",37.071111,"37.04.16N",6,50,0,"W",-6.833333,"  6.50.00W",15,25
"112",759,646,"BARCA",NA,"Y","N","Y","UNKN","N",NA,NA,355,"0000-00-00",NA,NA,"Russian peat-borer",NA,NA,NA,646,"Barcaggio","FRA-37000-BARC",NA,"FRA","37","000",43,0,21,"N",43.005833,"43.00.21N",9,24,13,"E",9.403611,"  9.24.13E",2,NA
"113",760,647,"BASTANI1",NA,"Y","N","Y","UNKN","N",NA,NA,355,"0000-00-00",NA,NA,"Mackereth sampler",NA,NA,NA,647,"Bastani","FRA-20000-BAST",NA,"FRA","20","000",42,3,57,"N",42.065833,"42.03.57N",9,7,56,"E",9.132222,"  9.07.56E",2089,NA
"114",761,647,"BASTANI2","core 2","Y","N","Y","UNKN","N",NA,NA,355,"0000-00-00",NA,NA,"Mackereth sampler",NA,NA,NA,647,"Bastani","FRA-20000-BAST",NA,"FRA","20","000",42,3,57,"N",42.065833,"42.03.57N",9,7,56,"E",9.132222,"  9.07.56E",2089,NA
"115",770,656,"CANNUTA",NA,"Y","N","Y","UNKN","N",NA,NA,355,"0000-00-00",NA,NA,"Russian peat borer",NA,NA,NA,656,"Cannuta","FRA-37000-CANN",NA,"FRA","37","000",42,30,0,"N",42.5,"42.30.00N",9,6,0,"E",9.1,"  9.06.00E",12,NA
"116",771,657,"CAPITELL",NA,"Y","N","Y","UNKN","N",NA,NA,355,"0000-00-00",NA,NA,"Mackereth borer",NA,NA,NA,657,"Capitello","FRA-20000-CAPI",NA,"FRA","20","000",42,12,36,"N",42.21,"42.12.36N",9,0,22,"E",9.006111,"  9.00.22E",1930,NA
"117",775,660,"CHA1",NA,"Y","N","Y","UNKN","N",NA,NA,174,"1993-00-00",NA,NA,"Unspecified device",NA,NA,NA,660,"Lac de Champlong","ITA-19000-LACD",NA,"ITA","19","000",45,49,30,"N",45.825,"45.49.30N",7,48,25,"E",7.806944,"  7.48.25E",2300,0.6
"118",779,664,"CRENO",NA,"Y","N","Y","UNKN","N","Center of the lake",NA,355,"1995-00-00",7,NA,"Livingstone piston sampler",8,NA,NA,664,"Lac de Creno","FRA-20000-CREN",NA,"FRA","20","000",42,12,3,"N",42.200833,"42.12.03N",8,56,51,"E",8.9475,"  8.56.51E",1280,2.4
"119",780,665,"CRET",NA,"Y","N","Y","UNKN","N",NA,NA,174,"1993-00-00",NA,NA,"Unspecified device",NA,NA,NA,665,"Tourbière Lo Cret","ITA-19000-TOUR",NA,"ITA","19","000",45,54,28,"N",45.907778,"45.54.28N",7,50,30,"E",7.841667,"  7.50.30E",1869,5.5
"120",788,672,"DRASSANE",NA,"Y","N","Y","MCOA","N",NA,"Platanus, Phoenix (garden vegetation)",428,"1988-05-00",NA,NA,"Craelius",10,NA,NA,672,"Drassanes","ESP-09000-DRAS",NA,"ESP","09","000",41,22,35,"N",41.376389,"41.22.35N",2,10,54,"E",2.181667,"  2.10.54E",6,25
"121",812,263,"JEU2","core 7","Y","N","Y","UNKN","N",NA,NA,189,"0000-00-00",NA,NA,"Unspecified device",NA,NA,NA,263,"Plan du Jeu","FRA-80000-PLAN",NA,"FRA","80","000",45,36,26,"N",45.607222,"45.36.26N",6,31,56,"E",6.532222,"  6.31.56E",2010,0.2
"122",821,307,"LAIT1","core 1","Y","N","Y","UNKN","N",NA,NA,189,"0000-00-00",NA,NA,"Unspecified device",NA,NA,NA,307,"Lac du Lait","FRA-80000-LACD",NA,"FRA","80","000",45,18,55,"N",45.315278,"45.18.55N",6,49,0,"E",6.816667,"  6.49.00E",2190,0.26
"123",831,707,"LOD",NA,"Y","N","Y","UNKN","N",NA,NA,174,"1993-00-00",NA,NA,"Unspecified device",NA,NA,NA,707,"Lac de Lod","ITA-19000-LACD",NA,"ITA","19","000",45,48,9,"N",45.8025,"45.48.09N",7,36,35,"E",7.609722,"  7.36.35E",1460,4
"124",832,708,"LODITOR",NA,"Y","N","Y","UNKN","N",NA,NA,174,"1993-00-00",NA,NA,"Unspecified device",NA,NA,NA,708,"Tourbière de Loditor","ITA-19000-TOUR",NA,"ITA","19","000",45,48,3,"N",45.800973,"45.48.03N",7,36,34,"E",7.610123,"  7.36.34E",1470,1.8
"125",842,718,"MOULINAS","core 9","Y","N","Y","OTHR","N","Central part of the small site","Herb",355,"1988-06-00",0,NA,"Russian peat corer",5,NA,NA,718,"Moulinasse","FRA-10000-MOUL",NA,"FRA","10","000",42,41,0,"N",42.683333,"42.41.00N",2,14,8,"E",2.235556,"  2.14.08E",1330,NA
"126",845,720,"NASSET","Les Nassettes, Mont Lozère","Y","N","Y","PBOG","N",NA,NA,355,"1984-00-00",NA,NA,"Unspecified device",NA,NA,NA,720,"Tourbière des Nassettes","FRA-59000-NASS","Y2000","FRA","59","000",44,28,0,"N",44.466667,"44.28.00N",3,38,30,"E",3.641667,"  3.38.30E",1375,8
"127",846,721,"NEGRE","core 6","Y","N","Y","PMSH","N","In the northern part of the site","Carex",355,"1989-07-00",0,NA,"Russian sampler",5,NA,NA,721,"Gourg Nègre","FRA-76000-GOUR",NA,"FRA","76","000",42,38,0,"N",42.633333,"42.38.00N",2,13,0,"E",2.216667,"  2.13.00E",2080,0.5
"128",849,724,"OSTRICO1",NA,"Y","N","Y","UNKN","N","Lagoon",NA,355,"0000-00-00",NA,NA,"Russian peat borer",NA,NA,NA,724,"Ostriconi","FRA-37000-OSTR",NA,"FRA","37","000",42,36,0,"N",42.6,"42.36.00N",9,6,0,"E",9.1,"  9.06.00E",10,NA
"129",850,724,"OSTRICO2","core 2","Y","N","Y","UNKN","N","Lagoon",NA,355,"0000-00-00",NA,NA,"Russian peat borer",NA,NA,NA,724,"Ostriconi","FRA-37000-OSTR",NA,"FRA","37","000",42,36,0,"N",42.6,"42.36.00N",9,6,0,"E",9.1,"  9.06.00E",10,NA
"130",851,725,"PADUL2",NA,"Y","N","Y","UNKN","N",NA,NA,355,"1983-00-00",NA,NA,"Russian sampler",NA,NA,NA,725,"Padul","ESP-01000-PADU",NA,"ESP","01","000",37,0,0,"N",37,"37.00.00N",3,4,0,"W",-3.066667,"  3.04.00W",785,NA
"131",857,615,"PRE1","core 3","Y","N","Y","UNKN","N",NA,NA,189,"0000-00-00",NA,NA,"Unspecified device",NA,NA,NA,615,"Col du Pré","FRA-80000-COLD",NA,"FRA","80","000",45,41,21,"N",45.689167,"45.41.21N",6,36,38,"E",6.610556,"  6.36.38E",1730,0.1
"132",860,482,"SAISIES1","core 5","Y","N","Y","UNKN","N",NA,NA,189,"0000-00-00",NA,NA,"Unspecified device",NA,NA,NA,482,"Les Saisies","FRA-80000-LESS",NA,"FRA","80","000",45,44,14,"N",45.737222,"45.44.14N",6,28,37,"E",6.476944,"  6.28.37E",1570,0.5
"133",861,732,"SALECCE","Saleccia","Y","N","Y","LACU","N",NA,"Pinus halepensis forest",355,"1984-00-00",NA,NA,"Russian peat borer",NA,NA,NA,732,"Saleccia","FRA-37000-SALE",NA,"FRA","37","000",42,43,22,"N",42.722778,"42.43.22N",9,12,15,"E",9.204167,"  9.12.15E",15,NA
"134",882,750,"VERRA",NA,"Y","N","Y","UNKN","N",NA,NA,174,"1993-00-00",NA,NA,"Unspecified device",NA,NA,NA,750,"Pian di Verra superiore","ITA-19000-PIAN",NA,"ITA","19","000",45,53,50,"N",45.897222,"45.53.50N",7,41,30,"E",7.691667,"  7.41.30E",2380,6.5
"135",889,757,"FANGO08",NA,"Y","N","Y","UNKN","N","Marsh","Vitis and Clematis vitalba",355,"0000-00-00",NA,NA,"Russian peat borer",NA,NA,NA,757,"Le Fango","FRA-37000-LEFA",NA,"FRA","37","000",42,25,1,"N",42.416944,"42.25.01N",8,39,51,"E",8.664167,"  8.39.51E",10,NA
"136",891,759,"ALCUDIA",NA,"Y","N","Y","MCOA","N","NE of Mallorca island",NA,339,"1992-00-00",0,NA,"Unspecified device",NA,NA,NA,759,"Albufera Alcudia","ESP-04000-ALBU",NA,"ESP","04","000",39,47,34,"N",39.792778,"39.47.34N",3,7,9,"E",3.119167,"  3.07.09E",0,NA
"137",892,760,"N-CAS","core 1","Y","N","Y","LNPL","N","Lake centre","Annual halophytes",191,"1991-07-21",NA,NA,"Cobra percussion corer",7,NA,NA,760,"Hoya del Castillo","ESP-02000-HOYA",NA,"ESP","02","000",41,15,0,"N",41.25,"41.15.00N",0,30,0,"W",-0.5,"  0.30.00W",260,10
"138",893,761,"N-GUA","core 1","Y","N","Y","LNPL","N","Lake centre","Annual halophytes, some perrenials",191,"1991-07-14",NA,NA,"Cobra percussion corer",7,NA,NA,761,"Laguna Guallar","ESP-02000-LAGU",NA,"ESP","02","000",41,24,0,"N",41.4,"41.24.00N",0,13,0,"W",-0.216667,"  0.13.00W",336,9.2
"139",896,764,"TRIKHON5",NA,"Y","N","Y","UNKN","N","SW. Greece, province of Arkanania","Transitional zone Mediterranean/deciduous forest",103,"0000-00-00",31,NA,"Mackereth",6,NA,NA,764,"Trikhonis 5","GRC-03000-TRIK",NA,"GRC","03","000",38,36,0,"N",38.6,"38.36.00N",21,30,0,"E",21.5," 21.30.00E",20,9830
"140",905,771,"CHA2",NA,"Y","N","Y","UNKN","N",NA,NA,174,"1993-00-00",NA,NA,"Unspecified device",NA,NA,NA,771,"Tourbière de Champlong","ITA-19000-TOUR",NA,"ITA","19","000",45,49,15,"N",45.820833,"45.49.15N",7,48,27,"E",7.8075,"  7.48.27E",2320,5.6
"141",907,773,"CRISTOL","boring 1","Y","N","Y","PBOG","N","in the peat located in the west part of the lake","grassland",317,"1997-00-00",NA,NA,"Russian corer",NA,NA,NA,773,"Cristol Lake","FRA-43000-CRIS",NA,"FRA","43","000",44,59,51,"N",44.9975,"44.59.51N",6,38,0,"E",6.633333,"  6.38.00E",2248,1.8
"142",908,774,"CROVAN03","core 2","Y","N","Y","UNKN","N","Pond",NA,355,"0000-00-00",NA,NA,"Russian peat borer",NA,NA,NA,774,"Crovani","FRA-37000-CROV",NA,"FRA","37","000",42,28,10,"N",42.469444,"42.28.10N",8,40,56,"E",8.682222,"  8.40.56E",10,2
"143",909,774,"CROVANI",NA,"Y","N","Y","UNKN","N",NA,NA,355,"0000-00-00",NA,NA,"Russian peat borer",NA,NA,NA,774,"Crovani","FRA-37000-CROV",NA,"FRA","37","000",42,28,10,"N",42.469444,"42.28.10N",8,40,56,"E",8.682222,"  8.40.56E",10,2
"144",916,781,"LGC","core 1","Y","N","Y","LNVO","N","Centre of dry lake bed","Mixed deciduous woodland, dominated by Quercus cerris and Quercus pubescens, with evergreen oaks on south facing rocky crater slopes. Castenea, Olea and Vitis abundant in the surroundings.",299,"0000-00-00",NA,NA,"Wire-line engine-operated",10,NA,NA,781,"Lagaccione","ITA-07000-LAGA",NA,"ITA","07","000",42,34,0,"N",42.566667,"42.34.00N",11,51,0,"E",11.85," 11.51.00E",355,49
"145",918,783,"N-PEQ","core 1","Y","N","Y","LNPL","N","Lake centre","Annual halophytes",191,"1991-07-20",NA,NA,"Cobra percussion corer",7,NA,NA,783,"Salada Pequeña","ESP-02000-SALA",NA,"ESP","02","000",41,2,0,"N",41.033333,"41.02.00N",0,13,0,"W",-0.216667,"  0.13.00W",357,21
"146",919,784,"N-SAL","core 1","Y","N","Y","LACU","N","Deepest part","Halophytes, tamarix",191,"1991-07-17",500,NA,"Livingstone (fat/thin)",5,NA,"First metre cored using fat (10cm) Livingstone.",784,"Laguna Salada Chiprana","ESP-02000-LAGU",NA,"ESP","02","000",41,14,0,"N",41.233333,"41.14.00N",0,10,0,"W",-0.166667,"  0.10.00W",150,23
"147",920,785,"PEUIL",NA,"Y","N","Y","PBOG","N","uphill part of the peat","Sphagnum, Calluna, Molinia",317,"1997-00-00",NA,NA,"Russian corer",NA,NA,NA,785,"Peuil Peat Bog","FRA-50000-PEUI",NA,"FRA","50","000",45,7,30,"N",45.125,"45.07.30N",5,38,37,"E",5.643611,"  5.38.37E",970,3.1
"148",921,786,"PILAZ",NA,"Y","N","Y","UNKN","N",NA,NA,174,"1993-00-00",NA,NA,"Unspecified device",NA,NA,NA,786,"Tourbière de Pilaz","ITA-19000-TOUR",NA,"ITA","19","000",45,49,1,"N",45.816944,"45.49.01N",7,50,0,"E",7.833333,"  7.50.00E",1460,1.5
"149",922,787,"PRGNP","core 1","Y","N","Y","PMIR","N","Core taken at deepest point of transect",NA,442,"0000-00-00",NA,NA,"Russian/Abbey/Stitz",5,NA,"Coring difficulties due to variable texture of the sediments. Cored to bedrock.",787,"Lago Pratignano","ITA-05000-LAGO",NA,"ITA","05","000",44,10,34,"N",44.176111,"44.10.34N",10,49,11,"E",10.819722," 10.49.11E",1307,2
"150",923,788,"RILMAN","core 1","Y","N","Y","LACU","N",NA,NA,411,"1991-07-00",NA,NA,"Dachnowski",NA,NA,NA,788,"Lake Suho Ezero","BGR-07000-LAKE",NA,"BGR","07","000",42,8,0,"N",42.133333,"42.08.00N",23,25,0,"E",23.416667," 23.25.00E",1900,1.95
"151",928,793,"VACC3","core 1","Y","N","Y","UNKN","N",NA,NA,399,"0000-00-00",NA,NA,"Unspecified device",NA,NA,NA,793,"Vaccarès III","FRA-13000-VACC",NA,"FRA","13","000",43,32,30,"N",43.541667,"43.32.30N",4,32,38,"E",4.543889,"  4.32.38E",1,NA
"152",929,794,"VICO_V1","core 1","Y","N","Y","LNVO","N","Southern part of lake in 22.6m water","Planted hazel, woodland",299,"1992-04-00",2260,NA,"Livingstone",8,NA,NA,794,"Lago di Vico","ITA-07000-LAGO",NA,"ITA","07","000",42,19,0,"N",42.316667,"42.19.00N",12,10,0,"E",12.166667," 12.10.00E",510,1200
"153",930,795,"VILLA",NA,"Y","N","Y","UNKN","N",NA,NA,174,"1993-00-00",NA,NA,"Unspecified device",NA,NA,NA,795,"Lac de Villa","ITA-19000-LACD",NA,"ITA","19","000",45,41,5,"N",45.684722,"45.41.05N",7,45,40,"E",7.761111,"  7.45.40E",820,1.7
"154",931,796,"BANYOLES","core 2","Y","N","Y","LNAT","N","East bank of the lake",NA,339,"0000-00-00",NA,NA,"Unspecified device",NA,NA,NA,796,"Lake Banyoles","ESP-09000-BO4",NA,"ESP","09","000",42,8,0,"N",42.133333,"42.08.00N",2,45,0,"E",2.75,"  2.45.00E",173,NA
"155",932,382,"LGM90D",NA,"Y","N","Y","LNAT","N","Southern side of the lake's outflow",NA,28,"1993-04-00",0,NA,"Square-rod piston corer",7.5,NA,NA,382,"Lago Grande di Monticchio","ITA-02000-LAGO",NA,"ITA","02","000",40,56,40,"N",40.944444,"40.56.40N",15,36,0,"E",15.6," 15.36.00E",1326,NA
"156",933,797,"CORREO","boring 1","Y","N","Y","PBOG","N","in the middle of the peat","Grassland",317,"1998-00-00",NA,NA,"Russian corer",NA,NA,NA,797,"Correo","FRA-43000-CORR",NA,"FRA","43","000",44,30,30,"N",44.508333,"44.30.30N",5,58,59,"E",5.983056,"  5.58.59E",1090,1.04
"157",937,800,"KOILADHA",NA,"Y","N","Y","MARI","N","South Argolis, Kiladha Bay","Quercus coccifera dominated Mediterranean vegetation",103,"1985-00-00",1020,NA,"75 cm piston-type corer",4,NA,NA,800,"Koiladha","GRC-04000-KOIL",NA,"GRC","04","000",37,33,0,"N",37.55,"37.33.00N",23,6,0,"E",23.1," 23.06.00E",-10,1000
"158",949,810,"HOYRAN",NA,"Y","N","Y","PMSH","N","SW Turkey, 3km SE of Asagikasikara","Butomus, Scirpus, Mentha, Phragmites",103,"1974-06-00",0,NA,"Dachnowski",3.6,NA,NA,810,"Hoyran Gölü","TUR-39000-HOYR",NA,"TUR","39","000",38,16,30,"N",38.275,"38.16.30N",30,52,30,"E",30.875," 30.52.30E",920,NA
"159",951,811,"KOPAIS",NA,"Y","N","Y","UNKN","N",NA,NA,227,"1973-00-00",NA,NA,"Unspecified device",NA,NA,NA,811,"Kopais","GRC-50000-KOPA",NA,"GRC","50","000",38,29,0,"N",38.483333,"38.29.00N",23,4,0,"E",23.066667," 23.04.00E",10,NA
"160",953,813,"LERNA",NA,"Y","N","Y","MCOA","N","Ca 150m from the beach, gulf of Argos",NA,454,"1987-07-00",0,NA,"Edelman corer",NA,NA,NA,813,"Lake Lerna","GRC-04000-LERN",NA,"GRC","04","000",37,35,0,"N",37.583333,"37.35.00N",22,45,0,"E",22.75," 22.45.00E",0,243
"161",962,725,"PADUL3",NA,"Y","N","Y","UNKN","N",NA,NA,355,"0000-00-00",NA,NA,"Unspecified device",NA,NA,NA,725,"Padul","ESP-01000-PADU",NA,"ESP","01","000",37,0,0,"N",37,"37.00.00N",3,4,0,"W",-3.066667,"  3.04.00W",785,NA
"162",964,822,"PINARBAS",NA,"Y","N","Y","UNKN","N",NA,NA,103,"0000-00-00",NA,NA,"Unspecified device",NA,NA,NA,822,"Pinarbasi","TUR-20000-PINA",NA,"TUR","20","000",37,28,0,"N",37.466667,"37.28.00N",30,3,0,"E",30.05," 30.03.00E",970,NA
"163",976,832,"XINIAS",NA,"Y","N","Y","UNKN","N",NA,NA,103,"1965-00-00",NA,NA,"Dachnowski and Livingstone (2.8)",3.6,NA,NA,832,"Lake Xinias","GRC-18000-LAKE",NA,"GRC","18","000",39,3,0,"N",39.05,"39.03.00N",22,16,0,"E",22.266667," 22.16.00E",500,NA
"164",981,835,"AKGOL",NA,"Y","N","Y","UNKN","N",NA,NA,103,"0000-00-00",NA,NA,"Unspecified device",NA,NA,NA,835,"Akgöl Adabag","TUR-44000-AKGO",NA,"TUR","44","000",37,30,0,"N",37.5,"37.30.00N",33,44,0,"E",33.733333," 33.44.00E",999,NA
